dataset,class,is_target,model,simple_gap,fr
cifar100,63,0,retrain,0.010000000000000009,0.996
cifar100,64,0,original,0.21500000000000008,0.0
cifar100,64,0,unlearned,0.19499999999999995,0.0
cifar100,64,0,retrain,0.14,0.95
cifar100,65,0,original,0.1499999999999999,0.0040000000000000036
cifar100,65,0,unlearned,0.15000000000000013,0.0
cifar100,65,0,retrain,0.050000000000000044,0.986
cifar100,66,0,original,0.05999999999999994,0.0
cifar100,66,0,unlearned,0.07000000000000006,0.0
cifar100,66,0,retrain,0.015000000000000013,0.956
cifar100,67,0,original,0.19999999999999996,0.0040000000000000036
cifar100,67,0,unlearned,0.22499999999999987,0.0040000000000000036
cifar100,67,0,retrain,0.034999999999999976,0.996
cifar100,68,0,original,0.025000000000000022,0.02200000000000002
cifar100,68,0,unlearned,0.025000000000000022,0.018000000000000016
cifar100,68,0,retrain,0.08499999999999996,0.982
cifar100,69,0,original,0.08499999999999996,0.006000000000000005
cifar100,69,0,unlearned,0.07499999999999996,0.008000000000000007
cifar100,69,0,retrain,0.08499999999999996,0.634
cifar100,70,0,original,0.11499999999999999,0.0040000000000000036
cifar100,70,0,unlearned,0.1100000000000001,0.0020000000000000018
cifar100,70,0,retrain,0.0050000000000000044,0.888
cifar100,71,0,original,0.09999999999999987,0.026000000000000023
cifar100,71,0,unlearned,0.10499999999999998,0.020000000000000018
cifar100,71,0,retrain,0.0050000000000000044,0.998
cifar100,72,0,original,0.21500000000000008,0.0040000000000000036
cifar100,72,0,unlearned,0.235,0.006000000000000005
cifar100,72,0,retrain,0.034999999999999976,0.844
cifar100,73,0,original,0.12,0.008000000000000007
cifar100,73,0,unlearned,0.11499999999999999,0.0020000000000000018
cifar100,73,0,retrain,0.009999999999999953,1.0
cifar100,74,0,original,0.20499999999999996,0.0040000000000000036
cifar100,74,0,unlearned,0.19500000000000006,0.0040000000000000036
cifar100,74,0,retrain,0.09999999999999998,0.996
cifar100,75,0,original,0.07500000000000007,0.008000000000000007
cifar100,75,0,unlearned,0.06500000000000006,0.0040000000000000036
